cases,totalCases,deaths,totalDeaths,recovered,totalRecovered,totalIntubated,totalIntensiveCare,tests,totalTests,critical,date1
1,1,0,0,0,0,0,0,0,0,NA,2020-03-11
0,1,0,0,0,0,0,0,0,0,NA,2020-03-12
4,5,0,0,0,0,0,0,0,0,NA,2020-03-13
1,6,0,0,0,0,0,0,0,0,NA,2020-03-14
12,18,1,1,0,0,0,0,0,0,NA,2020-03-15
29,47,0,1,0,0,0,0,0,0,NA,2020-03-16
51,98,1,2,0,0,0,0,0,8002,NA,2020-03-17
93,191,2,3,0,0,0,0,2015,10017,NA,2020-03-18
168,359,1,4,0,0,0,0,1981,11998,NA,2020-03-19
311,670,5,9,0,0,0,0,3656,15624,NA,2020-03-20
277,947,12,21,0,0,0,0,2952,18604,NA,2020-03-21
289,1236,9,30,0,0,0,0,1738,20345,NA,2020-03-22
293,1529,7,37,0,0,0,0,3672,24017,NA,2020-03-23
343,1872,7,44,0,26,102,136,3952,27969,NA,2020-03-24
561,2433,15,59,0,0,0,0,5035,33004,NA,2020-03-25
1196,3629,16,75,0,0,0,0,7286,40290,NA,2020-03-26
2069,5698,17,92,16,42,241,344,7533,47823,NA,2020-03-27
1704,7402,16,108,28,70,309,445,7641,55464,NA,2020-03-28
1815,9217,23,131,35,105,394,568,9982,65446,NA,2020-03-29
1610,10827,37,168,57,162,523,725,11535,76981,NA,2020-03-30
2704,13531,46,214,81,243,622,847,15422,92403,NA,2020-03-31
2148,15679,63,277,90,333,692,979,14397,106799,NA,2020-04-01
2456,18315,79,356,82,415,783,1101,18757,125556,NA,2020-04-02
2786,20921,69,425,69,484,867,1251,16160,141716,NA,2020-04-03
3013,23934,76,501,302,786,909,1311,19664,161380,NA,2020-04-04
3135,27069,73,574,256,1042,935,1381,20065,181446,NA,2020-04-05
3148,30217,75,649,284,1326,966,1415,21400,202845,NA,2020-04-06
3892,34109,76,725,256,1582,987,1474,20023,222868,NA,2020-04-07
4117,38226,87,812,264,1846,995,1492,24900,247768,NA,2020-04-08
4056,42282,96,908,296,2142,1017,1552,28578,276346,NA,2020-04-09
4747,47029,98,1006,281,2423,1062,1667,30864,307210,NA,2020-04-10
